,,,,,
Input,Match type,Approved symbol,Approved name,HGNC ID,Location
ABCC9,Approved symbol,ABCC9,ATP binding cassette subfamily C member 9,HGNC:60,12p12.1
ABCD3,Approved symbol,ABCD3,ATP binding cassette subfamily D member 3,HGNC:67,1p21.3
ABCF2,Approved symbol,ABCF2,ATP binding cassette subfamily F member 2,HGNC:71,7q36.1
ABCG2,Approved symbol,ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group),HGNC:74,4q22.1
ABCG4,Approved symbol,ABCG4,ATP binding cassette subfamily G member 4,HGNC:13884,11q23.3
ABHD10,Approved symbol,ABHD10,"abhydrolase domain containing 10, depalmitoylase",HGNC:25656,3q13.2
ABHD13,Approved symbol,ABHD13,abhydrolase domain containing 13,HGNC:20293,13q33.3
ABHD16A,Approved symbol,ABHD16A,"abhydrolase domain containing 16A, phospholipase",HGNC:13921,6p21.33
ABHD8,Approved symbol,ABHD8,abhydrolase domain containing 8,HGNC:23759,19p13.11
ABLIM3,Approved symbol,ABLIM3,actin binding LIM protein family member 3,HGNC:29132,5q32
ABR,Approved symbol,ABR,ABR activator of RhoGEF and GTPase,HGNC:81,17p13.3
ABT1,Approved symbol,ABT1,activator of basal transcription 1,HGNC:17369,6p22.2
AC003090.1,Unmatched,,,,
ZNF8,Approved symbol,ZNF8,zinc finger protein 8,HGNC:13154,19q13.43
AC011525.2,Unmatched,,,,
AC018696.1,Unmatched,,,,
AC026150.6,Unmatched,,,,
AC073343.13,Unmatched,,,,
CROCC2,Approved symbol,CROCC2,"ciliary rootlet coiled-coil, rootletin family member 2",HGNC:51677,2q37.3
MAGEL2,Approved symbol,MAGEL2,MAGE family member L2,HGNC:6814,15q11.2
ACACA,Approved symbol,ACACA,acetyl-CoA carboxylase alpha,HGNC:84,17q12
ACACB,Approved symbol,ACACB,acetyl-CoA carboxylase beta,HGNC:85,12q24.11
ACAD8,Approved symbol,ACAD8,acyl-CoA dehydrogenase family member 8,HGNC:87,11q25
ACADS,Approved symbol,ACADS,acyl-CoA dehydrogenase short chain,HGNC:90,12q24.31
ACAN,Approved symbol,ACAN,aggrecan,HGNC:319,15q26.1
ACAP3,Approved symbol,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",HGNC:16754,1p36.33
ACBD3,Approved symbol,ACBD3,acyl-CoA binding domain containing 3,HGNC:15453,1q42.12
ACE,Approved symbol,ACE,angiotensin I converting enzyme,HGNC:2707,17q23.3
ACE2,Approved symbol,ACE2,angiotensin converting enzyme 2,HGNC:13557,Xp22.2
ACKR2,Approved symbol,ACKR2,atypical chemokine receptor 2,HGNC:1565,3p22.1
ACKR3,Approved symbol,ACKR3,atypical chemokine receptor 3,HGNC:23692,2q37.3
ACO2,Approved symbol,ACO2,aconitase 2,HGNC:118,22q13.2
ACOX2,Approved symbol,ACOX2,acyl-CoA oxidase 2,HGNC:120,3p14.3
ACOX3,Approved symbol,ACOX3,"acyl-CoA oxidase 3, pristanoyl",HGNC:121,4p16.1
ACP1,Approved symbol,ACP1,acid phosphatase 1,HGNC:122,2p25.3
ACP1,Alias symbol,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,HGNC:7694,16p12.2
ACP2,Approved symbol,ACP2,"acid phosphatase 2, lysosomal",HGNC:123,11p11.2
ACRC,Previous symbol,GCNA,germ cell nuclear acidic peptidase,HGNC:15805,Xq13.1
ACSF3,Approved symbol,ACSF3,acyl-CoA synthetase family member 3,HGNC:27288,16q24.3
ACSL6,Approved symbol,ACSL6,acyl-CoA synthetase long chain family member 6,HGNC:16496,5q31.1
ACSM2B,Approved symbol,ACSM2B,acyl-CoA synthetase medium chain family member 2B,HGNC:30931,16p12.3
ACSM4,Approved symbol,ACSM4,acyl-CoA synthetase medium chain family member 4,HGNC:32016,12p13.31
ACSM5,Approved symbol,ACSM5,acyl-CoA synthetase medium chain family member 5,HGNC:26060,16p12.3
ACSS3,Approved symbol,ACSS3,acyl-CoA synthetase short chain family member 3,HGNC:24723,12q21.31
ACTB,Approved symbol,ACTB,actin beta,HGNC:132,7p22.1
ACTC1,Approved symbol,ACTC1,actin alpha cardiac muscle 1,HGNC:143,15q14
ACTL7B,Approved symbol,ACTL7B,actin like 7B,HGNC:162,9q31.3
ACTN2,Approved symbol,ACTN2,actinin alpha 2,HGNC:164,1q43
ACTN4,Approved symbol,ACTN4,actinin alpha 4,HGNC:166,19q13.2
ACTR8,Approved symbol,ACTR8,actin related protein 8,HGNC:14672,3p21.1
ACVR1,Approved symbol,ACVR1,activin A receptor type 1,HGNC:171,2q24.1
ADAD1,Approved symbol,ADAD1,adenosine deaminase domain containing 1,HGNC:30713,4q27
ADAD2,Approved symbol,ADAD2,adenosine deaminase domain containing 2,HGNC:30714,16q24.1
ADAM11,Approved symbol,ADAM11,ADAM metallopeptidase domain 11,HGNC:189,17q21.31
ADAM12,Approved symbol,ADAM12,ADAM metallopeptidase domain 12,HGNC:190,10q26.2
ADAM2,Approved symbol,ADAM2,ADAM metallopeptidase domain 2,HGNC:198,8p11.22
ADAM23,Approved symbol,ADAM23,ADAM metallopeptidase domain 23,HGNC:202,2q33.3
ADAM23,Alias symbol,ADAM28,ADAM metallopeptidase domain 28,HGNC:206,8p21.2
ADAM28,Approved symbol,ADAM28,ADAM metallopeptidase domain 28,HGNC:206,8p21.2
ADAM29,Approved symbol,ADAM29,ADAM metallopeptidase domain 29,HGNC:207,4q34.1
ADAM32,Approved symbol,ADAM32,ADAM metallopeptidase domain 32,HGNC:15479,8p11.22
ADAM9,Approved symbol,ADAM9,ADAM metallopeptidase domain 9,HGNC:216,8p11.22
ADAMDEC1,Approved symbol,ADAMDEC1,ADAM like decysin 1,HGNC:16299,8p21.2
ADAMTS1,Approved symbol,ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1,HGNC:217,21q21.3
ADAMTS10,Approved symbol,ADAMTS10,ADAM metallopeptidase with thrombospondin type 1 motif 10,HGNC:13201,19p13.2
ADAMTS12,Approved symbol,ADAMTS12,ADAM metallopeptidase with thrombospondin type 1 motif 12,HGNC:14605,5p13.3-p13.2
ADAMTS13,Approved symbol,ADAMTS13,ADAM metallopeptidase with thrombospondin type 1 motif 13,HGNC:1366,9q34.2
ADAMTS14,Approved symbol,ADAMTS14,ADAM metallopeptidase with thrombospondin type 1 motif 14,HGNC:14899,10q22.1
ADAMTS15,Approved symbol,ADAMTS15,ADAM metallopeptidase with thrombospondin type 1 motif 15,HGNC:16305,11q24.3
ADAMTS16,Approved symbol,ADAMTS16,ADAM metallopeptidase with thrombospondin type 1 motif 16,HGNC:17108,5p15.32
ADAMTS17,Approved symbol,ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17,HGNC:17109,15q26.3
ADAMTS18,Approved symbol,ADAMTS18,ADAM metallopeptidase with thrombospondin type 1 motif 18,HGNC:17110,16q23.1
ADAMTS19,Approved symbol,ADAMTS19,ADAM metallopeptidase with thrombospondin type 1 motif 19,HGNC:17111,5q23.3
ADAMTS2,Approved symbol,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,HGNC:218,5q35.3
ADAMTS20,Approved symbol,ADAMTS20,ADAM metallopeptidase with thrombospondin type 1 motif 20,HGNC:17178,12q12
ADAMTS4,Approved symbol,ADAMTS4,ADAM metallopeptidase with thrombospondin type 1 motif 4,HGNC:220,1q23.3
ADAMTS6,Approved symbol,ADAMTS6,ADAM metallopeptidase with thrombospondin type 1 motif 6,HGNC:222,5q12.3
ADAMTS7,Approved symbol,ADAMTS7,ADAM metallopeptidase with thrombospondin type 1 motif 7,HGNC:223,15q25.1
ADAP1,Approved symbol,ADAP1,ArfGAP with dual PH domains 1,HGNC:16486,7p22.3
ADAR,Approved symbol,ADAR,adenosine deaminase RNA specific,HGNC:225,1q21.3
ADARB1,Approved symbol,ADARB1,adenosine deaminase RNA specific B1,HGNC:226,21q22.3
ADARB2,Approved symbol,ADARB2,adenosine deaminase RNA specific B2 (inactive),HGNC:227,10p15.3
ADAT3,Approved symbol,ADAT3,adenosine deaminase tRNA specific 3,HGNC:25151,19p13.3
ADCK4,Previous symbol,COQ8B,coenzyme Q8B,HGNC:19041,19q13.2
ADCY1,Approved symbol,ADCY1,adenylate cyclase 1,HGNC:232,7p12.3
ADCY2,Approved symbol,ADCY2,adenylate cyclase 2,HGNC:233,5p15.31
ADCY3,Approved symbol,ADCY3,adenylate cyclase 3,HGNC:234,2p23.3
ADCY3,Previous symbol,ADCY8,adenylate cyclase 8,HGNC:239,8q24.22
ADCY5,Approved symbol,ADCY5,adenylate cyclase 5,HGNC:236,3q21.1
ADCY6,Approved symbol,ADCY6,adenylate cyclase 6,HGNC:237,12q13.12
ADCY8,Approved symbol,ADCY8,adenylate cyclase 8,HGNC:239,8q24.22
ADCY9,Approved symbol,ADCY9,adenylate cyclase 9,HGNC:240,16p13.3
ADCYAP1,Approved symbol,ADCYAP1,adenylate cyclase activating polypeptide 1,HGNC:241,18p11.32
ADH7,Approved symbol,ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",HGNC:256,4q23
ADNP2,Approved symbol,ADNP2,ADNP homeobox 2,HGNC:23803,18q23
ADRA1A,Approved symbol,ADRA1A,adrenoceptor alpha 1A,HGNC:277,8p21.2
ADRA1A,Alias symbol,ADRA1D,adrenoceptor alpha 1D,HGNC:280,20p13
ADRA1B,Approved symbol,ADRA1B,adrenoceptor alpha 1B,HGNC:278,5q33.3
ADRA1D,Approved symbol,ADRA1D,adrenoceptor alpha 1D,HGNC:280,20p13
ADRA2B,Approved symbol,ADRA2B,adrenoceptor alpha 2B,HGNC:282,2q11.2
ADRBK1,Previous symbol,GRK2,G protein-coupled receptor kinase 2,HGNC:289,11q13.2
ADSS,Previous symbol,ADSS2,adenylosuccinate synthase 2,HGNC:292,1q44
AFAP1L1,Approved symbol,AFAP1L1,actin filament associated protein 1 like 1,HGNC:26714,5q32
AGAP1,Approved symbol,AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",HGNC:16922,2q37.2
AGAP2,Approved symbol,AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",HGNC:16921,12q14.1
AGAP3,Approved symbol,AGAP3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",HGNC:16923,7q36.1
AGO2,Approved symbol,AGO2,argonaute RISC catalytic component 2,HGNC:3263,8q24.3
AGR2,Approved symbol,AGR2,"anterior gradient 2, protein disulphide isomerase family member",HGNC:328,7p21.1
AGTPBP1,Approved symbol,AGTPBP1,ATP/GTP binding carboxypeptidase 1,HGNC:17258,9q21.33
AGTR2,Approved symbol,AGTR2,angiotensin II receptor type 2,HGNC:338,Xq23
AGXT,Approved symbol,AGXT,alanine--glyoxylate and serine--pyruvate aminotransferase,HGNC:341,2q37.3
AHDC1,Approved symbol,AHDC1,AT-hook DNA binding motif containing 1,HGNC:25230,1p36.11-p35.3
AHNAK,Approved symbol,AHNAK,AHNAK nucleoprotein,HGNC:347,11q12.3
AHNAK2,Approved symbol,AHNAK2,AHNAK nucleoprotein 2,HGNC:20125,14q32.33
AHSA1,Approved symbol,AHSA1,activator of HSP90 ATPase activity 1,HGNC:1189,14q24.3
AHSG,Approved symbol,AHSG,alpha 2-HS glycoprotein,HGNC:349,3q27.3
AIMP1,Approved symbol,AIMP1,aminoacyl tRNA synthetase complex interacting multifunctional protein 1,HGNC:10648,4q24
AIP,Approved symbol,AIP,aryl hydrocarbon receptor interacting protein,HGNC:358,11q13.2
AIP,Alias symbol,AURKAIP1,aurora kinase A interacting protein 1,HGNC:24114,1p36.33
AIPL1,Approved symbol,AIPL1,aryl hydrocarbon receptor interacting protein like 1,HGNC:359,17p13.2
AJAP1,Approved symbol,AJAP1,adherens junctions associated protein 1,HGNC:30801,1p36.32
AK5,Approved symbol,AK5,adenylate kinase 5,HGNC:365,1p31.1
AK8,Approved symbol,AK8,adenylate kinase 8,HGNC:26526,9q34.13
AKAP13,Approved symbol,AKAP13,A-kinase anchoring protein 13,HGNC:371,15q25.3
AKAP14,Approved symbol,AKAP14,A-kinase anchoring protein 14,HGNC:24061,Xq24
AKNA,Approved symbol,AKNA,AT-hook transcription factor,HGNC:24108,9q32
AKNAD1,Approved symbol,AKNAD1,AKNA domain containing 1,HGNC:28398,1p13.3
AKR1D1,Approved symbol,AKR1D1,aldo-keto reductase family 1 member D1,HGNC:388,7q33
AKT1S1,Approved symbol,AKT1S1,AKT1 substrate 1,HGNC:28426,19q13.33
AKT3,Approved symbol,AKT3,AKT serine/threonine kinase 3,HGNC:393,1q43-q44
AL354898.1,Unmatched,,,,
AL359538.2,Unmatched,,,,
ALAS1,Approved symbol,ALAS1,5'-aminolevulinate synthase 1,HGNC:396,3p21.2
ALCAM,Approved symbol,ALCAM,activated leukocyte cell adhesion molecule,HGNC:400,3q13.11
ALDH16A1,Approved symbol,ALDH16A1,aldehyde dehydrogenase 16 family member A1,HGNC:28114,19q13.33
ALDH18A1,Approved symbol,ALDH18A1,aldehyde dehydrogenase 18 family member A1,HGNC:9722,10q24.1
ALDH1A2,Approved symbol,ALDH1A2,aldehyde dehydrogenase 1 family member A2,HGNC:15472,15q21.3
ALDH1B1,Approved symbol,ALDH1B1,aldehyde dehydrogenase 1 family member B1,HGNC:407,9p13.1
ALK,Approved symbol,ALK,ALK receptor tyrosine kinase,HGNC:427,2p23.2-p23.1
ALKBH2,Approved symbol,ALKBH2,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase",HGNC:32487,12q24.11
ALMS1,Approved symbol,ALMS1,ALMS1 centrosome and basal body associated protein,HGNC:428,2p13.1
ALOX12,Approved symbol,ALOX12,"arachidonate 12-lipoxygenase, 12S type",HGNC:429,17p13.1
ALOX15B,Approved symbol,ALOX15B,arachidonate 15-lipoxygenase type B,HGNC:434,17p13.1
ALPPL2,Previous symbol,ALPG,"alkaline phosphatase, germ cell",HGNC:441,2q37.1
ALS2,Approved symbol,ALS2,alsin Rho guanine nucleotide exchange factor ALS2,HGNC:443,2q33.1
AMER1,Approved symbol,AMER1,APC membrane recruitment protein 1,HGNC:26837,Xq11.2
AMER2,Approved symbol,AMER2,APC membrane recruitment protein 2,HGNC:26360,13q12.13
AMER3,Approved symbol,AMER3,APC membrane recruitment protein 3,HGNC:26771,2q21.1
AMH,Approved symbol,AMH,anti-Mullerian hormone,HGNC:464,19p13.3
AMPD1,Approved symbol,AMPD1,adenosine monophosphate deaminase 1,HGNC:468,1p13.2
AMPD3,Approved symbol,AMPD3,adenosine monophosphate deaminase 3,HGNC:470,11p15.4
AMZ1,Approved symbol,AMZ1,archaelysin family metallopeptidase 1,HGNC:22231,7p22.3
ANAPC5,Approved symbol,ANAPC5,anaphase promoting complex subunit 5,HGNC:15713,12q24.31
ANAPC7,Approved symbol,ANAPC7,anaphase promoting complex subunit 7,HGNC:17380,12q24.11
ANGPT1,Approved symbol,ANGPT1,angiopoietin 1,HGNC:484,8q23.1
ANGPTL3,Approved symbol,ANGPTL3,angiopoietin like 3,HGNC:491,1p31.3
ANGPTL4,Approved symbol,ANGPTL4,angiopoietin like 4,HGNC:16039,19p13.2
ANK1,Approved symbol,ANK1,ankyrin 1,HGNC:492,8p11.21
ANK2,Approved symbol,ANK2,ankyrin 2,HGNC:493,4q25-q26
ANKDD1A,Approved symbol,ANKDD1A,ankyrin repeat and death domain containing 1A,HGNC:28002,15q22.31
ANKFY1,Approved symbol,ANKFY1,ankyrin repeat and FYVE domain containing 1,HGNC:20763,17p13.2
ANKH,Approved symbol,ANKH,ANKH inorganic pyrophosphate transport regulator,HGNC:15492,5p15.2
ANKHD1,Approved symbol,ANKHD1,ankyrin repeat and KH domain containing 1,HGNC:24714,5q31.3
ANKIB1,Approved symbol,ANKIB1,ankyrin repeat and IBR domain containing 1,HGNC:22215,7q21.2
ANKK1,Approved symbol,ANKK1,ankyrin repeat and kinase domain containing 1,HGNC:21027,11q23.2
ANKLE1,Approved symbol,ANKLE1,ankyrin repeat and LEM domain containing 1,HGNC:26812,19p13.11
ANKLE2,Approved symbol,ANKLE2,ankyrin repeat and LEM domain containing 2,HGNC:29101,12q24.33
ANKMY2,Approved symbol,ANKMY2,ankyrin repeat and MYND domain containing 2,HGNC:25370,7p21.1
ANKRA2,Approved symbol,ANKRA2,ankyrin repeat family A member 2,HGNC:13208,5q13.2
ANKRD17,Approved symbol,ANKRD17,ankyrin repeat domain 17,HGNC:23575,4q13.3
ANKRD24,Approved symbol,ANKRD24,ankyrin repeat domain 24,HGNC:29424,19p13.3
ANKRD26,Approved symbol,ANKRD26,ankyrin repeat domain containing 26,HGNC:29186,10p12.1
ANKRD27,Approved symbol,ANKRD27,ankyrin repeat domain 27,HGNC:25310,19q13.11
ANKRD28,Approved symbol,ANKRD28,ankyrin repeat domain 28,HGNC:29024,3p25.1
ANKRD30A,Approved symbol,ANKRD30A,ankyrin repeat domain 30A,HGNC:17234,10p11.21
ANKRD30B,Approved symbol,ANKRD30B,ankyrin repeat domain 30B,HGNC:24165,18p11.21
ANKRD34B,Approved symbol,ANKRD34B,ankyrin repeat domain 34B,HGNC:33736,5q14.1
ANKRD36B,Approved symbol,ANKRD36B,ankyrin repeat domain 36B,HGNC:29333,2q11.2
ANKRD42,Approved symbol,ANKRD42,ankyrin repeat domain 42,HGNC:26752,11q14.1
ANKRD54,Approved symbol,ANKRD54,ankyrin repeat domain 54,HGNC:25185,22q13.1
ANKRD61,Approved symbol,ANKRD61,ankyrin repeat domain 61,HGNC:22467,7p22.1
ANKRD62,Approved symbol,ANKRD62,ankyrin repeat domain 62,HGNC:35241,18p11.21
ANKS1A,Approved symbol,ANKS1A,ankyrin repeat and sterile alpha motif domain containing 1A,HGNC:20961,6p21.31
ANKS1B,Approved symbol,ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B,HGNC:24600,12q23.1
ANO4,Approved symbol,ANO4,anoctamin 4,HGNC:23837,12q23.1
ANO7,Approved symbol,ANO7,anoctamin 7,HGNC:31677,2q37.3
ANO8,Approved symbol,ANO8,anoctamin 8,HGNC:29329,19p13.11
ANPEP,Approved symbol,ANPEP,"alanyl aminopeptidase, membrane",HGNC:500,15q26.1
ANTXR2,Approved symbol,ANTXR2,ANTXR cell adhesion molecule 2,HGNC:21732,4q21.21
ANXA5,Approved symbol,ANXA5,annexin A5,HGNC:543,4q27
ANXA6,Approved symbol,ANXA6,annexin A6,HGNC:544,5q33.1
AP1S2,Approved symbol,AP1S2,adaptor related protein complex 1 subunit sigma 2,HGNC:560,Xp22.2
AP2B1,Approved symbol,AP2B1,adaptor related protein complex 2 subunit beta 1,HGNC:563,17q12
AP2M1,Approved symbol,AP2M1,adaptor related protein complex 2 subunit mu 1,HGNC:564,3q27.1
AP3B1,Approved symbol,AP3B1,adaptor related protein complex 3 subunit beta 1,HGNC:566,5q14.1
AP3M1,Approved symbol,AP3M1,adaptor related protein complex 3 subunit mu 1,HGNC:569,10q22.2
AP3S1,Approved symbol,AP3S1,adaptor related protein complex 3 subunit sigma 1,HGNC:2013,5q22.3-q23.1
AP3S2,Approved symbol,AP3S2,adaptor related protein complex 3 subunit sigma 2,HGNC:571,15q26.1
AP5Z1,Approved symbol,AP5Z1,adaptor related protein complex 5 subunit zeta 1,HGNC:22197,7p22.1
APBA1,Approved symbol,APBA1,amyloid beta precursor protein binding family A member 1,HGNC:578,9q21.12
APBA2,Approved symbol,APBA2,amyloid beta precursor protein binding family A member 2,HGNC:579,15q13.1
APBA3,Approved symbol,APBA3,amyloid beta precursor protein binding family A member 3,HGNC:580,19p13.3
APBB1IP,Approved symbol,APBB1IP,amyloid beta precursor protein binding family B member 1 interacting protein,HGNC:17379,10p12.1
APBB3,Approved symbol,APBB3,amyloid beta precursor protein binding family B member 3,HGNC:20708,5q31.3
APC,Approved symbol,APC,APC regulator of WNT signaling pathway,HGNC:583,5q22.2
APEX2,Approved symbol,APEX2,apurinic/apyrimidinic endodeoxyribonuclease 2,HGNC:17889,Xp11.21
APLNR,Approved symbol,APLNR,apelin receptor,HGNC:339,11q12.1
APLP1,Approved symbol,APLP1,amyloid beta precursor like protein 1,HGNC:597,19q13.12
APMAP,Approved symbol,APMAP,adipocyte plasma membrane associated protein,HGNC:13238,20p11.21
APOA5,Approved symbol,APOA5,apolipoprotein A5,HGNC:17288,11q23.3
APOB,Approved symbol,APOB,apolipoprotein B,HGNC:603,2p24.1
APOL1,Approved symbol,APOL1,apolipoprotein L1,HGNC:618,22q12.3
APOLD1,Approved symbol,APOLD1,apolipoprotein L domain containing 1,HGNC:25268,12p13.1
AQP11,Approved symbol,AQP11,aquaporin 11,HGNC:19940,11q14.1
AQPEP,Alias symbol,LVRN,laeverin,HGNC:26904,5q23.1
AR,Approved symbol,AR,androgen receptor,HGNC:644,Xq12
AR,Alias symbol,AKR1B1,aldo-keto reductase family 1 member B,HGNC:381,7q33
ARAP1,Approved symbol,ARAP1,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1",HGNC:16925,11q13.4
ARAP2,Approved symbol,ARAP2,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2",HGNC:16924,4p14
ARAP3,Approved symbol,ARAP3,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3",HGNC:24097,5q31.3
AREL1,Approved symbol,AREL1,apoptosis resistant E3 ubiquitin protein ligase 1,HGNC:20363,14q24.3
ARF6,Approved symbol,ARF6,ADP ribosylation factor 6,HGNC:659,14q21.3
ARFGAP1,Approved symbol,ARFGAP1,ADP ribosylation factor GTPase activating protein 1,HGNC:15852,20q13.33
ARFGAP1,Previous symbol,ARFGAP3,ADP ribosylation factor GTPase activating protein 3,HGNC:661,22q13.2
ARFGAP2,Approved symbol,ARFGAP2,ADP ribosylation factor GTPase activating protein 2,HGNC:13504,11p11.2
ARFGEF1,Approved symbol,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1,HGNC:15772,8q13.2
ARGLU1,Approved symbol,ARGLU1,arginine and glutamate rich 1,HGNC:25482,13q33.3
ARHGAP12,Approved symbol,ARHGAP12,Rho GTPase activating protein 12,HGNC:16348,10p11.22
ARHGAP21,Approved symbol,ARHGAP21,Rho GTPase activating protein 21,HGNC:23725,10p12.1
ARHGAP22,Approved symbol,ARHGAP22,Rho GTPase activating protein 22,HGNC:30320,10q11.22-q11.23
ARHGAP23,Approved symbol,ARHGAP23,Rho GTPase activating protein 23,HGNC:29293,17q12
ARHGAP26,Approved symbol,ARHGAP26,Rho GTPase activating protein 26,HGNC:17073,5q31.3
ARHGAP28,Approved symbol,ARHGAP28,Rho GTPase activating protein 28,HGNC:25509,18p11.31
ARHGAP30,Approved symbol,ARHGAP30,Rho GTPase activating protein 30,HGNC:27414,1q23.3
ARHGAP32,Approved symbol,ARHGAP32,Rho GTPase activating protein 32,HGNC:17399,11q24.3
ARHGAP36,Approved symbol,ARHGAP36,Rho GTPase activating protein 36,HGNC:26388,Xq26.1
ARHGAP39,Approved symbol,ARHGAP39,Rho GTPase activating protein 39,HGNC:29351,8q24.3
ARHGAP40,Approved symbol,ARHGAP40,Rho GTPase activating protein 40,HGNC:16226,20q11.23
ARHGAP44,Approved symbol,ARHGAP44,Rho GTPase activating protein 44,HGNC:29096,17p12
ARHGEF10,Approved symbol,ARHGEF10,Rho guanine nucleotide exchange factor 10,HGNC:14103,8p23.3
ARHGEF10L,Approved symbol,ARHGEF10L,Rho guanine nucleotide exchange factor 10 like,HGNC:25540,1p36.13
ARHGEF11,Approved symbol,ARHGEF11,Rho guanine nucleotide exchange factor 11,HGNC:14580,1q23.1
ARHGEF12,Approved symbol,ARHGEF12,Rho guanine nucleotide exchange factor 12,HGNC:14193,11q23.3
ARHGEF15,Approved symbol,ARHGEF15,Rho guanine nucleotide exchange factor 15,HGNC:15590,17p13.1
ARHGEF17,Approved symbol,ARHGEF17,Rho guanine nucleotide exchange factor 17,HGNC:21726,11q13.4
ARHGEF18,Approved symbol,ARHGEF18,Rho/Rac guanine nucleotide exchange factor 18,HGNC:17090,19p13.2
ARHGEF25,Approved symbol,ARHGEF25,Rho guanine nucleotide exchange factor 25,HGNC:30275,12q13.3
ARHGEF26,Approved symbol,ARHGEF26,Rho guanine nucleotide exchange factor 26,HGNC:24490,3q25.2
ARHGEF3,Approved symbol,ARHGEF3,Rho guanine nucleotide exchange factor 3,HGNC:683,3p14.3
ARHGEF33,Approved symbol,ARHGEF33,Rho guanine nucleotide exchange factor 33,HGNC:37252,2p22.1
